,Country,Lat,Long,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1,continent,color
0,Afghanistan,33.93911,67.709953,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
106,Namibia,-22.9576,18.4904,2020-01-22,0,0,0,0,0,0,1.654354474099609,Africa,cyan
107,Nepal,28.1667,84.25,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
108,Netherlands,107.0442,-264.9603,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
109,New Zealand,-40.9006,174.886,2020-01-22,0,0,0,0,0,0,1.654354474099609,Oceania,green
110,Nicaragua,12.865416,-85.207229,2020-01-22,0,0,0,0,0,0,1.654354474099609,Americas,navy
111,Niger,17.607789,8.081666,2020-01-22,0,0,0,0,0,0,1.654354474099609,Africa,cyan
112,Nigeria,9.082,8.6753,2020-01-22,0,0,0,0,0,0,1.654354474099609,Africa,cyan
105,Morocco,31.7917,-7.0926,2020-01-22,0,0,0,0,0,0,1.654354474099609,Africa,cyan
113,North Macedonia,41.6086,21.7453,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
115,Oman,21.512583,55.92325500000001,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
116,Pakistan,30.3753,69.3451,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
117,Panama,8.538,-80.7821,2020-01-22,0,0,0,0,0,0,1.654354474099609,Americas,navy
118,Papua New Guinea,-6.314993,143.95555,2020-01-22,0,0,0,0,0,0,1.654354474099609,Oceania,green
119,Paraguay,-23.4425,-58.4438,2020-01-22,0,0,0,0,0,0,1.654354474099609,Americas,navy
120,Peru,-9.19,-75.0152,2020-01-22,0,0,0,0,0,0,1.654354474099609,Americas,navy
121,Poland,51.9194,19.1451,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
114,Norway,60.472,8.4689,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
104,Montenegro,42.708678000000006,19.37439,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
103,Mongolia,46.8625,103.8467,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
102,Monaco,43.7333,7.4167,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
85,Kyrgyzstan,41.20438,74.766098,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
86,Latvia,56.8796,24.6032,2020-01-22,0,0,0,0,0,0,1.654354474099609,Europe,red
87,Lebanon,33.8547,35.8623,2020-01-22,0,0,0,0,0,0,1.654354474099609,Asia,orange
88,Lesotho,-29.61,28.2336,2020-01-22,0,0,0,0,0,0,1.654354474099609,Africa,cyan
89,Liberia,6.4280550000000005,-9.429499,2020-01-22,0,0,0,0,0,0,1.654354474099609,Africa,cyan
