,Country,Lat,Long,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1,daily_conf,daily_death,daily_recovered,daily_conf_f,daily_recovered_f,daily_death_f
347,Thailand,15.870032,100.992541,2020-01-23,3,0,0,3,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
352,US,40.0,-100.0,2020-01-23,1,0,0,1,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
344,Taiwan*,23.7,121.0,2020-01-23,1,0,0,1,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
272,Korea South,35.90775700000001,127.766922,2020-01-23,1,0,0,1,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
268,Japan,36.204824,138.252924,2020-01-23,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
530,Thailand,15.870032,100.992541,2020-01-24,5,0,0,5,0,0,1.656341043968749,2.0,0.0,0.0,2,0,0
535,US,40.0,-100.0,2020-01-24,2,0,0,2,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
543,Vietnam,14.058323999999999,108.277199,2020-01-24,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
527,Taiwan*,23.7,121.0,2020-01-24,3,0,0,3,0,0,1.656341043968749,2.0,0.0,0.0,2,0,0
515,Singapore,1.2833,103.8333,2020-01-24,3,0,0,3,0,0,1.656341043968749,2.0,0.0,0.0,2,0,0
455,Korea South,35.90775700000001,127.766922,2020-01-24,2,0,0,2,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
451,Japan,36.204824,138.252924,2020-01-24,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
713,Thailand,15.870032,100.992541,2020-01-25,7,0,0,7,0,0,1.656341043968749,2.0,0.0,0.0,2,0,0
718,US,40.0,-100.0,2020-01-25,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
726,Vietnam,14.058323999999999,108.277199,2020-01-25,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
710,Taiwan*,23.7,121.0,2020-01-25,3,0,0,3,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
698,Singapore,1.2833,103.8333,2020-01-25,3,0,0,3,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
634,Japan,36.204824,138.252924,2020-01-25,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
638,Korea South,35.90775700000001,127.766922,2020-01-25,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
609,France,91.39739499999999,60.04088600000003,2020-01-25,3,0,0,3,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
850,Nepal,28.1667,84.25,2020-01-26,1,0,0,1,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
837,Malaysia,4.210483999999999,101.97576600000001,2020-01-26,4,0,0,4,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
896,Thailand,15.870032,100.992541,2020-01-26,8,0,2,8,2,0,1.656341043968749,1.0,0.0,2.0,1,2,0
901,US,40.0,-100.0,2020-01-26,5,0,0,5,0,0,1.656341043968749,3.0,0.0,0.0,3,0,0
909,Vietnam,14.058323999999999,108.277199,2020-01-26,2,0,0,2,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
893,Taiwan*,23.7,121.0,2020-01-26,4,0,0,4,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
881,Singapore,1.2833,103.8333,2020-01-26,4,0,0,4,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
821,Korea South,35.90775700000001,127.766922,2020-01-26,3,0,0,3,0,0,1.656341043968749,1.0,0.0,0.0,1,0,0
817,Japan,36.204824,138.252924,2020-01-26,4,0,1,4,1,0,1.656341043968749,2.0,0.0,1.0,2,1,0
792,France,91.39739499999999,60.04088600000003,2020-01-26,3,0,0,3,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
1033,Nepal,28.1667,84.25,2020-01-27,1,0,0,1,0,0,1.656341043968749,0.0,0.0,0.0,0,0,0
