,Country/Region,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1
0,Afghanistan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
120,Namibia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
121,Nepal,2020-01-22,0,0,0,0,0,0,0.06836577025798513
122,Netherlands,2020-01-22,0,0,0,0,0,0,0.06836577025798513
123,New Zealand,2020-01-22,0,0,0,0,0,0,0.06836577025798513
124,Nicaragua,2020-01-22,0,0,0,0,0,0,0.06836577025798513
125,Niger,2020-01-22,0,0,0,0,0,0,0.06836577025798513
126,Nigeria,2020-01-22,0,0,0,0,0,0,0.06836577025798513
127,North Macedonia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
128,Norway,2020-01-22,0,0,0,0,0,0,0.06836577025798513
129,Oman,2020-01-22,0,0,0,0,0,0,0.06836577025798513
130,Pakistan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
131,Panama,2020-01-22,0,0,0,0,0,0,0.06836577025798513
132,Papua New Guinea,2020-01-22,0,0,0,0,0,0,0.06836577025798513
133,Paraguay,2020-01-22,0,0,0,0,0,0,0.06836577025798513
134,Peru,2020-01-22,0,0,0,0,0,0,0.06836577025798513
135,Philippines,2020-01-22,0,0,0,0,0,0,0.06836577025798513
136,Poland,2020-01-22,0,0,0,0,0,0,0.06836577025798513
137,Portugal,2020-01-22,0,0,0,0,0,0,0.06836577025798513
138,Qatar,2020-01-22,0,0,0,0,0,0,0.06836577025798513
119,Mozambique,2020-01-22,0,0,0,0,0,0,0.06836577025798513
118,Morocco,2020-01-22,0,0,0,0,0,0,0.06836577025798513
117,Montenegro,2020-01-22,0,0,0,0,0,0,0.06836577025798513
116,Mongolia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
96,Latvia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
97,Lebanon,2020-01-22,0,0,0,0,0,0,0.06836577025798513
98,Lesotho,2020-01-22,0,0,0,0,0,0,0.06836577025798513
99,Liberia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
100,Libya,2020-01-22,0,0,0,0,0,0,0.06836577025798513
101,Liechtenstein,2020-01-22,0,0,0,0,0,0,0.06836577025798513
102,Lithuania,2020-01-22,0,0,0,0,0,0,0.06836577025798513
103,Luxembourg,2020-01-22,0,0,0,0,0,0,0.06836577025798513
104,MS Zaandam,2020-01-22,0,0,0,0,0,0,0.06836577025798513
139,Romania,2020-01-22,0,0,0,0,0,0,0.06836577025798513
105,Madagascar,2020-01-22,0,0,0,0,0,0,0.06836577025798513
107,Malaysia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
108,Maldives,2020-01-22,0,0,0,0,0,0,0.06836577025798513
109,Mali,2020-01-22,0,0,0,0,0,0,0.06836577025798513
110,Malta,2020-01-22,0,0,0,0,0,0,0.06836577025798513
111,Mauritania,2020-01-22,0,0,0,0,0,0,0.06836577025798513
112,Mauritius,2020-01-22,0,0,0,0,0,0,0.06836577025798513
113,Mexico,2020-01-22,0,0,0,0,0,0,0.06836577025798513
114,Moldova,2020-01-22,0,0,0,0,0,0,0.06836577025798513
115,Monaco,2020-01-22,0,0,0,0,0,0,0.06836577025798513
106,Malawi,2020-01-22,0,0,0,0,0,0,0.06836577025798513
141,Rwanda,2020-01-22,0,0,0,0,0,0,0.06836577025798513
142,Saint Kitts and Nevis,2020-01-22,0,0,0,0,0,0,0.06836577025798513
143,Saint Lucia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
168,Thailand,2020-01-22,2,0,0,2,0,0,0.06836577025798513
169,Timor-Leste,2020-01-22,0,0,0,0,0,0,0.06836577025798513
170,Togo,2020-01-22,0,0,0,0,0,0,0.06836577025798513
171,Trinidad and Tobago,2020-01-22,0,0,0,0,0,0,0.06836577025798513
172,Tunisia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
173,Turkey,2020-01-22,0,0,0,0,0,0,0.06836577025798513
174,US,2020-01-22,1,0,0,1,0,0,0.06836577025798513
175,Uganda,2020-01-22,0,0,0,0,0,0,0.06836577025798513
176,Ukraine,2020-01-22,0,0,0,0,0,0,0.06836577025798513
167,Tanzania,2020-01-22,0,0,0,0,0,0,0.06836577025798513
177,United Arab Emirates,2020-01-22,0,0,0,0,0,0,0.06836577025798513
179,Uruguay,2020-01-22,0,0,0,0,0,0,0.06836577025798513
180,Uzbekistan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
181,Venezuela,2020-01-22,0,0,0,0,0,0,0.06836577025798513
182,Vietnam,2020-01-22,0,0,0,0,0,0,0.06836577025798513
183,West Bank and Gaza,2020-01-22,0,0,0,0,0,0,0.06836577025798513
184,Western Sahara,2020-01-22,0,0,0,0,0,0,0.06836577025798513
185,Yemen,2020-01-22,0,0,0,0,0,0,0.06836577025798513
186,Zambia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
187,Zimbabwe,2020-01-22,0,0,0,0,0,0,0.06836577025798513
178,United Kingdom,2020-01-22,0,0,0,0,0,0,0.06836577025798513
95,Laos,2020-01-22,0,0,0,0,0,0,0.06836577025798513
166,Tajikistan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
164,Syria,2020-01-22,0,0,0,0,0,0,0.06836577025798513
144,Saint Vincent and the Grenadines,2020-01-22,0,0,0,0,0,0,0.06836577025798513
145,San Marino,2020-01-22,0,0,0,0,0,0,0.06836577025798513
146,Sao Tome and Principe,2020-01-22,0,0,0,0,0,0,0.06836577025798513
147,Saudi Arabia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
148,Senegal,2020-01-22,0,0,0,0,0,0,0.06836577025798513
149,Serbia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
150,Seychelles,2020-01-22,0,0,0,0,0,0,0.06836577025798513
151,Sierra Leone,2020-01-22,0,0,0,0,0,0,0.06836577025798513
152,Singapore,2020-01-22,0,0,0,0,0,0,0.06836577025798513
165,Taiwan*,2020-01-22,1,0,0,1,0,0,0.06836577025798513
153,Slovakia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
155,Somalia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
156,South Africa,2020-01-22,0,0,0,0,0,0,0.06836577025798513
157,South Sudan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
158,Spain,2020-01-22,0,0,0,0,0,0,0.06836577025798513
159,Sri Lanka,2020-01-22,0,0,0,0,0,0,0.06836577025798513
160,Sudan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
161,Suriname,2020-01-22,0,0,0,0,0,0,0.06836577025798513
162,Sweden,2020-01-22,0,0,0,0,0,0,0.06836577025798513
163,Switzerland,2020-01-22,0,0,0,0,0,0,0.06836577025798513
154,Slovenia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
94,Kyrgyzstan,2020-01-22,0,0,0,0,0,0,0.06836577025798513
140,Russia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
92,Kosovo,2020-01-22,0,0,0,0,0,0,0.06836577025798513
25,Bulgaria,2020-01-22,0,0,0,0,0,0,0.06836577025798513
26,Burkina Faso,2020-01-22,0,0,0,0,0,0,0.06836577025798513
27,Burma,2020-01-22,0,0,0,0,0,0,0.06836577025798513
